"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000168724",4.62279,10.8239,5.26672,7.94308,1.80234,8.02176,6.65258,9.7117,6.40032,9.66996
"ENSG00000215149",0,1.22368,0.257328,0,0,0,0,0,0,0.0584074
"ENSG00000138640",133.13,44.2957,31.6488,59.0016,44.2529,42.6793,48.7702,46.607,207.961,74.669
"ENSG00000099804",4.04306,9.4189,6.96136,1.89315,9.98869,5.61047,8.49135,0.901265,16.0345,10.759
"ENSG00000237217",0,0,0,0,0,0.689328,0,1.26889,0,3.91381
"ENSG00000175087",8.37563,18.0106,10.9959,1.34252,0.0264653,2.57607,12.5374,2.61759,20.8202,5.75976
"ENSG00000270612",0,0,0,0,0,0,0,0,0,0
"ENSG00000222249",0,0,0,0,0,0,0,0,0,0
"ENSG00000234104",0,0,0.461457,0,0,0,0,0,0,0
"ENSG00000157181",25.8591,23.3608,24.564,16.4485,29.1413,21.5652,27.8948,25.4073,12.7268,17.4711
"ENSG00000264200",0,0,0,0,0,0,0,0,0,0
"ENSG00000233614",0.0714974,1.10686,0.20316,0.794848,0.107095,0.28674,0.465417,0.253188,0.140486,0.200853
"ENSG00000201665",0,0,0,0,0,0,0,0,0,0
"ENSG00000214360",0,3.3082,0,0,0,0,0,0,0,0
"ENSG00000221130",0,0,0,0,0,0,0,0,0,0
"ENSG00000254874",0,4.11647,0,58.781,0,2.02098,0,0,0,0
"ENSG00000091844",0.173188,0.460813,0.868067,0.540658,0,0.434727,0.574731,0.331573,0,0
"ENSG00000221809",0,0,0,0,0,0,0,0,0,0
"ENSG00000212615",0,0,0,0,0,0,0,0,0,0
"ENSG00000227644",0,0,0,0,0,0,0,0,0,0
"ENSG00000168610",166.472,193.288,123.516,87.9954,26.7521,83.5423,135.408,53.6122,208.116,121.39
